ApplicantID,Name,Age,Category,Parent_Income,Tier,City,Qualification,Experience,Sector,Skills,ResumeText
bdd640fb,Yash Kapoor,24,General,264947,Tier-1,Hyderabad,10th,2,Banking & Finance,"excel, analysis, sql, finance","Perspiciatis tempora assumenda in. Atque doloremque nobis. Skills: excel, analysis, sql, finance Projects: Dicta officiis molestias dolore nihil repellat ab."
6c307511,Arunima Dugal,21,General,1412906,Tier-1,Mumbai,Graduation,2,Banking & Finance,"sql, excel","Aut fugit facere exercitationem eaque aliquam. Modi voluptate fugiat mollitia repudiandae nulla similique. Skills: sql, excel Projects: Deleniti architecto optio quo voluptates sequi sint."
a2bc372f,Nicholas Prabhakar,19,General,501545,Tier-1,Mumbai,10th,0,Agriculture,"foodtech, soil, sustainability, agri","Pariatur praesentium placeat architecto odio. Quas cum fugit voluptatibus odit nam placeat. Dolorem adipisci et eaque. Skills: foodtech, soil, sustainability, agri Projects: Totam necessitatibus quaerat distinctio libero."
757750a9,Alka Dewan,19,OBC,1174551,Tier-2,Nagpur,Graduation,0,Defence,"aerospace, navigation, radar","Molestiae quia incidunt nesciunt facere voluptatum consequuntur. At aliquid autem occaecati recusandae in aperiam. Skills: aerospace, navigation, radar Projects: Nisi iusto dolorum mollitia velit perspiciatis."
8976e334,Harini Choudhury,24,General,217335,Tier-3,Varanasi,10th,0,Defence,"aerospace, embedded, navigation, radar","Culpa a quam quaerat voluptas quis. Totam sit error odit non corrupti quis. Skills: aerospace, embedded, navigation, radar Projects: Veritatis ullam ullam nobis laborum beatae facilis."
4eb93eff,Dalbir Khosla,20,OBC,1483503,Tier-1,Bangalore,Post-Graduation,0,Defence,"radar, navigation, embedded","Assumenda laborum architecto quis. Consectetur labore mollitia eaque. Incidunt distinctio molestiae quas dicta est voluptatum officiis. Skills: radar, navigation, embedded Projects: Tempore iste dolorum aperiam accusantium mollitia."
122c9a56,Veer Bir,21,SC,1485740,Tier-1,Chennai,10th,0,Healthcare,"clinical, bio, nursing","Architecto dolores pariatur distinctio consequatur vel. Skills: clinical, bio, nursing Projects: Nemo doloribus labore illum atque omnis explicabo."
baa4b71a,Guneet Bhat,24,SC,709927,Tier-2,Patna,Graduation,0,Defence,"radar, navigation","Reiciendis autem deleniti modi consequuntur delectus. Dolorum unde ipsam similique mollitia amet voluptatum. Voluptas unde sed. Skills: radar, navigation Projects: Illo laboriosam sint temporibus."
fc3d3348,Alka Sha,24,SC,1227274,Tier-1,Bangalore,Diploma,2,Consulting,"analysis, excel","Possimus quas quos optio laborum deleniti. Voluptas neque molestiae quibusdam animi. Skills: analysis, excel Projects: Labore ullam minus animi magni sed architecto architecto."
1eb0e38a,Balveer Bumb,20,SC,148810,Tier-2,Jaipur,12th,0,Education,"nlp, teaching","Natus et ea pariatur et eaque consectetur officia. Et quibusdam asperiores itaque voluptatum voluptatum asperiores. Magni consequatur expedita architecto doloribus. Skills: nlp, teaching Projects: Culpa rerum provident nostrum voluptates."
aaf91531,Hemang Desai,18,OBC,1159633,Tier-3,Gaya,Post-Graduation,0,Education,"nlp, research, content","Suscipit quia culpa eligendi. Quaerat dignissimos odio eaque laborum. Skills: nlp, research, content Projects: At incidunt eius."
217d65a0,Neel Sathe,18,ST,961768,Tier-3,Agra,Graduation,0,Banking & Finance,"analysis, finance, accounting, excel","Natus beatae velit porro corrupti alias. Nesciunt corporis consectetur est tempore recusandae. Tempore distinctio dolorum. Skills: analysis, finance, accounting, excel Projects: Explicabo nam soluta voluptate."
ee0caeb5,Nicholas Goel,26,ST,370527,Tier-3,Varanasi,12th,0,Agriculture,"agri, sustainability, soil, foodtech","Debitis unde quos. Rem sint repellat eaque ratione autem. Similique dolore repellendus. Skills: agri, sustainability, soil, foodtech Projects: Expedita reprehenderit sit dolore optio id eius."
4774bc58,Yashodhara Ratta,19,General,171477,Tier-3,Kota,Post-Graduation,0,IT & Software,"python, java, sql, aws, docker","Vel beatae voluptas debitis vitae eaque. Nisi exercitationem ratione ipsa. Blanditiis tempore deleniti aliquid ipsa maxime rem. Skills: python, java, sql, aws, docker Projects: Facilis architecto optio ex et."
e6697833,Yashica More,22,OBC,1046739,Tier-1,Kolkata,12th,2,Consulting,"analysis, excel","Illo eos consectetur in velit perspiciatis. Nulla error molestias a. Distinctio ratione non eum ipsam. Skills: analysis, excel Projects: Maiores recusandae vero quasi omnis."
a2086977,Girik Keer,26,General,1458629,Tier-1,Kolkata,Graduation,0,Education,"content, research, nlp, teaching","Rem corporis aliquid voluptates nostrum. Iste suscipit nemo quaerat. Skills: content, research, nlp, teaching Projects: Laudantium doloribus omnis ab quibusdam quo."
3805f907,Zarna Shetty,19,OBC,1284048,Tier-1,Delhi,10th,0,Healthcare,"nursing, clinical, bio","Dolorum sed itaque reiciendis pariatur voluptates nisi. Skills: nursing, clinical, bio Projects: Nostrum quaerat magnam rerum molestias tempore."
7337c599,Yug Malhotra,25,General,1128263,Tier-1,Delhi,Diploma,0,IT & Software,"react, java","Occaecati earum aspernatur enim earum eum molestiae. Corrupti fugit corrupti distinctio. Illum molestiae impedit dignissimos in temporibus. Skills: react, java Projects: Veniam accusantium sunt nemo labore velit error harum."
6b44fa8d,Vinaya Kanda,24,General,253278,Tier-3,Agra,Diploma,1,Manufacturing,"automation, safety, quality, cad, robotics","Laborum harum pariatur reiciendis quam saepe. Voluptatem modi tenetur nihil. Skills: automation, safety, quality, cad, robotics Projects: Assumenda inventore sint."
610cf373,Siddharth Sha,21,General,761569,Tier-3,Raipur,12th,0,IT & Software,"python, aws","Quis fugit quibusdam rerum dolorum aspernatur. Quibusdam amet veritatis. Officiis quos officiis quidem veniam. Skills: python, aws Projects: Saepe numquam dolores labore beatae."
b31022f0,Jyoti Ganesh,26,General,573882,Tier-1,Chennai,Graduation,0,Consulting,"excel, analysis","Vitae quaerat quod cum est neque ut nemo. Id quaerat asperiores porro occaecati aut. Sed nobis commodi voluptates quos. Minus optio architecto officia accusamus in. Skills: excel, analysis Projects: Autem vero odio repudiandae provident ipsa quasi."
9dac6e83,Udyati Sarin,20,General,498260,Tier-1,Mumbai,10th,1,IT & Software,"aws, docker, ml","Eum doloribus vel eius iste. Necessitatibus pariatur excepturi laudantium eveniet laborum explicabo. Excepturi sunt praesentium eius ab. Assumenda quam laborum quidem porro. Skills: aws, docker, ml Projects: Ipsum accusantium eos illo doloribus optio fuga."
6cedd15d,Indira Setty,21,ST,374632,Tier-2,Bhubaneswar,Diploma,0,Education,"nlp, research, content","Dolorum blanditiis deserunt blanditiis modi. Deleniti qui eius nihil. Skills: nlp, research, content Projects: Nisi voluptatem rerum eos facere esse provident."
f96b648a,Brinda Date,18,ST,1104553,Tier-3,Kota,12th,2,IT & Software,"python, docker","Sit nemo iusto ipsam. Vitae dolorum similique beatae. Id asperiores occaecati amet. Skills: python, docker Projects: Repellat veniam assumenda dolorum."
9b37a22b,Lajita Seshadri,21,OBC,896778,Tier-1,Delhi,Post-Graduation,0,Banking & Finance,"analysis, excel","Similique voluptatibus esse numquam non. Veniam dignissimos distinctio optio. Dolores mollitia culpa illum. Skills: analysis, excel Projects: Iusto adipisci enim eligendi similique architecto doloremque eaque."
a9434aa0,Pavani Contractor,20,OBC,550560,Tier-3,Gaya,Graduation,0,IT & Software,"flask, react, sql, java, aws","Officia tenetur repudiandae architecto cumque. Nisi repudiandae ullam ipsa iusto. Praesentium velit magnam laudantium aspernatur. Skills: flask, react, sql, java, aws Projects: Suscipit quasi nobis."
f63fce41,Amruta Baria,19,OBC,1352665,Tier-2,Patna,10th,2,Agriculture,"agri, soil","Maxime ipsam eius voluptatum ipsa repellendus voluptas. Expedita ex pariatur similique ex possimus enim. Skills: agri, soil Projects: Repellendus mollitia iste et eum voluptas."
d32e6dcd,Turvi Sachdev,26,OBC,647661,Tier-1,Bangalore,Graduation,0,Agriculture,"soil, foodtech","Maxime numquam libero ipsam amet. Skills: soil, foodtech Projects: Molestias unde ipsa praesentium commodi."
cc9fd334,Nathan Mukhopadhyay,22,General,274470,Tier-3,Agra,12th,2,IT & Software,"java, sql, docker, python","Mollitia at voluptatibus. Itaque blanditiis rerum libero. Magni earum rerum voluptatem doloribus. Skills: java, sql, docker, python Projects: Corporis deleniti nobis quia consequatur architecto quo."
ef2ae713,Aarnav Mandal,19,OBC,1074525,Tier-3,Kota,10th,0,Healthcare,"clinical, bio","Neque optio sint ipsum laborum ex quis fugiat. Sit voluptatem dolores fugit sequi illum. Skills: clinical, bio Projects: Quia provident repellat harum optio reprehenderit."
f6febc0e,Jonathan Thakkar,24,OBC,388861,Tier-1,Delhi,Post-Graduation,1,Agriculture,"soil, sustainability, foodtech","Sit soluta ipsam minima itaque quam. Sit voluptas asperiores quos eaque numquam. Officiis sequi sequi similique fugit et. Sit alias architecto occaecati ullam voluptatum quia. Skills: soil, sustainability, foodtech Projects: Voluptatem quis provident aut cumque error."
